zip,scope,key,n,min_us,median_us,p95_us,max_us,visible,fast_layer,kind,image_format,pixel_area,drawn_area,rotated,color_filtered,dyn_bound,text_length,parse_ms,apply_ms,res_count,res_bytes,svg_count
# default, 450x450, 30 reps, seconds pref true
default,frame,-,630,71408,75769,89199,137955,,,,,,,,,,0,389,1,39751,0
default,refresh,-,30,35954,37377,71786,110085,,,,,,,,,,0,389,1,39751,0
default,sum_of_views,-,1,73101,73101,73101,73101,,,,,,,,,,0,389,1,39751,0
default,fast_layer,-,1,58073,58073,58073,58073,,,,,,,,,,0,389,1,39751,0
default,view,second_hand,30,-25977,19599,25526,27421,true,true,image,other,0,202500,true,false,false,0,0,389,1,39751,0
default,view,minute_hand,30,7285,17895,21730,21923,true,true,image,other,0,202500,true,false,false,0,0,389,1,39751,0
default,view,hour_hand,30,-1591,17812,21025,36727,true,true,image,other,0,202500,true,false,false,0,0,389,1,39751,0
default,view,chart,30,-59113,13293,28475,45389,true,false,other,other,0,85950,false,false,false,0,0,389,1,39751,0
default,view,cover_plate,30,-1032,3176,11363,19127,true,true,image,other,0,202500,false,false,false,0,0,389,1,39751,0
default,view,iob1,30,-28503,1361,22522,30056,true,false,text,other,0,5402,false,false,false,2,0,389,1,39751,0
default,view,day_name,30,-13445,1142,10589,18139,true,true,text,other,0,2520,false,false,false,3,0,389,1,39751,0
default,view,basalRate,30,-41567,1073,9582,18761,true,false,text,other,0,3672,false,false,false,8,0,389,1,39751,0
default,view,avg_delta,30,-87865,488,7555,12129,true,false,text,other,0,2376,false,false,false,2,0,389,1,39751,0
default,view,delta,30,-47727,415,13288,43322,true,false,text,other,0,2376,false,false,false,2,0,389,1,39751,0
default,view,direction,30,-47437,270,3596,4696,true,true,image,other,0,2025,false,true,false,0,0,389,1,39751,0
default,view,month,30,-6201,95,5814,8958,true,true,text,other,0,2240,false,false,false,4,0,389,1,39751,0
default,view,cob2,30,-22588,-37,29628,46999,true,false,text,other,0,4995,false,false,false,3,0,389,1,39751,0
default,view,iob2,30,-109308,-151,5870,6929,true,false,text,other,0,5402,false,false,false,4,0,389,1,39751,0
default,view,cob1,30,-40893,-222,6365,41185,true,false,text,other,0,4995,false,false,false,2,0,389,1,39751,0
default,view,loop,30,-18398,-323,4632,8091,true,true,text,other,0,3136,false,false,false,2,0,389,1,39751,0
default,view,sgv,30,-15502,-378,3107,3615,true,true,text,other,0,50400,false,false,false,2,0,389,1,39751,0
default,view,uploader_battery,30,-67128,-380,3604,4131,true,false,text,other,0,2412,false,false,false,3,0,389,1,39751,0
default,view,day,30,-4640,-396,7505,17819,true,true,text,other,0,2520,false,false,false,2,0,389,1,39751,0
default,view,bgi,30,-16539,-812,18347,62748,true,false,text,other,0,2412,false,false,false,4,0,389,1,39751,0
default,view,timestamp,30,-11780,-819,2088,4019,true,true,text,other,0,2204,false,false,false,2,0,389,1,39751,0
# steampunk, 450x450, 30 reps, seconds pref true
steampunk,frame,-,480,132189,137289,169042,382240,,,,,,,,,,0,545,14,711737,0
steampunk,refresh,-,30,28786,30397,31629,35249,,,,,,,,,,0,545,14,711737,0
steampunk,sum_of_views,-,1,139991,139991,139991,139991,,,,,,,,,,0,545,14,711737,0
steampunk,fast_layer,-,1,41007,41007,41007,41007,,,,,,,,,,0,545,14,711737,0
steampunk,view,cover_plate,30,-9836,31509,35699,48175,true,true,image,bitmap,160000,202500,false,false,false,0,0,545,14,711737,0
steampunk,view,freetext1,30,19288,31497,37574,74485,true,false,text,bitmap,160000,202500,false,false,true,0,0,545,14,711737,0
steampunk,view,background,30,8053,30401,50196,67549,true,false,background,bitmap,160000,202500,true,false,true,0,0,545,14,711737,0
steampunk,view,freetext3,30,-181,18440,70225,133530,true,false,text,bitmap,76176,96100,true,false,true,0,0,545,14,711737,0
steampunk,view,chart,30,-998,14845,23887,33611,true,false,other,bitmap,23005,29160,false,false,false,0,0,545,14,711737,0
steampunk,view,minute_hand,30,-7717,3577,9060,72327,true,true,image,bitmap,14400,18225,true,false,false,0,0,545,14,711737,0
steampunk,view,hour_hand,30,-113807,3446,7670,8759,true,true,image,bitmap,14400,18225,true,false,false,0,0,545,14,711737,0
steampunk,view,cob2,30,-34483,2049,46333,181190,true,false,text,other,0,5490,true,false,false,2,0,545,14,711737,0
steampunk,view,iob2,30,-9823,1304,21858,54225,true,false,text,other,0,5490,true,false,false,4,0,545,14,711737,0
steampunk,view,loop,30,-5420,1119,13527,46601,true,true,text,other,0,2025,true,false,true,2,0,545,14,711737,0
steampunk,view,sgv,30,-5327,684,47929,113150,true,true,text,other,0,78750,false,false,false,2,0,545,14,711737,0
steampunk,view,timestamp,30,-95150,672,4428,5346,true,true,text,other,0,2025,true,false,false,2,0,545,14,711737,0
steampunk,view,freetext2,30,-78873,554,6765,10333,true,false,text,other,0,96100,true,false,true,0,0,545,14,711737,0
